time,raw_data
1.5014,53.252
2.8326,54.282
4.2662,53.916
5.8534,53.941
7.4406,53.99
9.079,54.433
10.6662,54.207
12.2534,52.992
13.8406,53.646
15.479,52.922
17.0662,54.02
18.6534,52.541
20.2918,53.0
21.879,54.293
23.4662,56.23
25.0534,57.691
26.6406,59.518
28.279,60.581
29.8662,61.367
31.4534,61.336
33.0918,62.551
34.679,63.661
36.2662,62.799
37.9046,63.523
39.4406,63.025
41.079,64.601
42.6662,64.04
44.2534,64.036
45.8406,64.513
47.479,64.718
49.0662,65.03
50.7046,64.97
52.2918,64.844
53.879,65.02
55.4662,65.578
57.0534,65.272
58.6918,65.972
60.279,65.391
61.8662,66.007
63.4534,65.922
65.0918,67.299
66.679,65.556
68.2662,67.089
69.9046,67.968
71.4918,66.071
73.079,65.877
74.6662,66.335
76.2534,66.96
77.8918,68.207
79.479,67.762
81.0662,66.85
82.7046,68.271
84.2918,67.982
85.879,67.133
87.4662,68.276
89.1046,67.122
90.6918,68.152
92.279,68.022
93.8662,67.68
95.5046,67.567
97.0918,67.43
98.679,67.31
100.2662,68.113
101.9046,67.4
103.4918,68.103
105.079,67.047
106.6662,68.157
108.3046,67.447
109.8918,67.101
111.479,67.474
113.0662,67.908
114.7046,67.563
116.2918,67.653
117.879,67.818
119.5174,68.691
121.1046,68.413
