time,raw_data
1.778,50.23
3.1604,49.866
4.5428,50.382
6.13,51.003
7.7684,49.775
9.3556,50.397
10.994,50.651
12.5812,49.628
14.1684,49.466
15.7556,50.771
17.3428,50.199
18.9812,50.277
20.5684,50.906
22.1556,51.361
23.7428,52.981
25.3812,53.793
26.9684,55.573
28.5556,56.035
30.1428,56.254
31.7812,56.944
33.3684,56.253
34.9556,56.297
36.5428,57.017
38.1812,57.821
39.7684,57.129
41.3556,58.214
42.994,57.133
44.5812,57.496
46.1684,56.357
47.7556,56.891
49.3428,57.115
50.9812,56.31
52.5684,56.713
54.1556,56.772
55.7428,57.386
57.3812,56.044
58.9684,56.328
60.5556,55.544
62.194,55.306
63.7812,55.307
65.3684,55.488
66.9556,56.271
68.5428,55.165
70.1812,55.082
71.7684,54.957
73.3556,54.356
74.9428,55.316
76.5812,55.126
78.1684,55.136
79.7556,54.506
81.394,52.93
82.9812,55.218
84.5684,54.779
86.1556,54.268
87.7428,54.008
89.3812,53.78
90.9684,54.12
92.5556,53.775
94.194,53.5
95.7812,53.947
97.3684,52.488
98.9556,54.171
100.594,54.046
102.1812,54.067
103.7684,52.588
105.3556,53.686
106.994,53.644
108.5812,53.533
110.1684,53.228
111.7556,51.85
113.394,53.221
114.9812,52.704
116.5684,52.57
118.1556,52.734
119.794,53.908
121.3812,53.556
