time,raw_data
1.204,58.311
2.5352,58.384
3.9688,57.51
5.556,57.779
7.1432,58.434
8.7816,58.901
10.3688,57.415
11.956,58.22
13.5432,58.177
15.1816,57.404
16.7688,57.686
18.356,57.216
19.9944,57.213
21.5816,57.38
23.1688,61.306
24.756,61.685
26.3432,63.199
27.9304,65.277
29.5688,65.889
31.156,65.43
32.7432,66.669
34.3816,66.042
35.9688,65.188
37.556,66.57
39.1432,66.138
40.7816,66.255
42.3688,65.457
43.956,64.998
45.5432,65.846
47.1816,64.878
48.7688,64.835
50.356,65.215
51.9432,64.593
53.5816,64.369
55.1688,64.201
56.756,62.892
58.3944,63.407
59.9816,62.747
61.5688,63.99
63.156,62.712
64.7944,62.564
66.3816,63.764
67.9688,62.165
69.556,61.344
71.1432,62.905
72.7816,61.9
74.3688,61.876
75.956,61.431
77.5944,62.599
79.1816,61.949
80.7688,62.193
82.356,61.05
83.9432,62.145
85.5816,61.564
87.1688,61.994
88.756,61.98
90.3432,60.906
91.9816,60.989
93.5688,60.991
95.156,61.001
96.7944,61.603
98.3816,61.237
99.9688,60.847
101.556,60.535
103.1432,60.654
104.7816,59.86
106.3688,61.802
107.956,61.158
109.5944,61.106
111.1816,60.598
112.7688,60.518
114.356,60.889
115.9944,60.03
117.5816,60.053
119.1688,61.227
120.756,60.05
