time,raw_data
1.3554,52.672
2.6866,53.069
4.1202,53.056
5.7074,52.516
7.2946,52.266
8.8818,52.589
10.5202,52.48
12.1074,53.09
13.6946,54.308
15.2818,53.187
16.9202,53.312
18.5074,53.085
20.0946,54.134
21.733,53.752
23.269,55.218
24.9074,57.602
26.4946,59.147
28.0818,59.479
29.7202,61.325
31.3074,62.06
32.8946,63.483
34.4818,63.779
36.1202,64.544
37.7074,65.866
39.2946,65.42
40.8818,67.13
42.5202,67.435
44.1074,69.344
45.6946,68.709
47.2818,71.308
48.9202,72.608
50.5074,71.694
52.0946,72.773
53.733,73.603
55.3202,73.774
56.9074,74.667
58.4946,73.926
60.133,74.837
61.7202,74.863
63.3074,75.717
64.8946,76.321
66.533,75.983
68.1202,75.562
69.7074,76.503
71.2946,77.554
72.933,77.716
74.5202,77.304
76.1074,77.918
77.7458,78.242
79.2818,78.342
80.9202,77.675
82.5074,78.773
84.0946,77.379
85.733,77.971
87.3202,79.129
88.9074,78.028
90.4946,79.198
92.0818,77.853
93.7202,79.629
95.3074,78.888
96.8946,78.22
98.533,78.109
100.1202,78.485
101.7074,78.839
103.2946,77.804
104.933,78.323
106.5202,78.56
108.1074,79.247
109.7458,77.412
111.333,79.338
112.9202,77.779
114.5074,78.518
116.0946,77.457
117.733,77.958
119.3202,76.793
120.9074,78.497
