time,raw_data
1.5112,54.167
2.8424,54.719
4.276,54.389
5.8632,54.293
7.4504,53.961
9.0888,53.48
10.676,54.559
12.2632,54.647
13.8504,53.628
15.4888,53.801
17.076,53.376
18.6632,53.506
20.2504,54.315
21.8888,54.549
23.476,56.16
25.0632,58.72
26.6504,60.608
28.2376,60.745
29.876,61.709
31.4632,62.478
33.0504,62.977
34.6888,63.564
36.276,63.635
37.8632,63.288
39.4504,64.085
41.0376,63.437
42.676,63.467
44.2632,63.055
45.8504,61.774
47.4888,63.334
49.076,61.516
50.7144,61.69
52.2504,62.201
53.8888,62.049
55.476,61.409
57.1144,60.904
58.7016,60.955
60.2888,60.865
61.876,61.564
63.4632,60.971
65.0504,59.879
66.6888,59.689
68.276,60.563
69.9144,60.036
71.4504,61.538
73.0888,59.449
74.676,59.042
76.2632,60.385
77.9016,59.118
79.4888,59.451
81.076,59.163
82.6632,59.464
84.2504,58.956
85.8888,60.014
87.476,58.631
89.0632,58.935
90.6504,58.213
92.2888,57.973
93.876,58.184
95.4632,58.966
97.0504,57.936
98.6888,58.658
100.276,58.557
101.8632,56.849
103.5016,58.028
105.0888,57.86
106.676,58.203
108.2632,58.488
109.9016,57.173
111.4888,57.714
113.076,57.816
114.7144,57.492
116.2504,58.39
117.8888,57.886
119.476,56.714
121.0632,57.491
