time,raw_data
1.35,60.244
2.6812,61.741
4.1148,60.466
5.702,61.149
7.2892,59.696
8.9276,59.603
10.5148,59.725
12.102,60.026
13.6892,60.947
15.2764,60.945
16.9148,59.708
18.502,59.964
20.0892,60.153
21.7276,59.664
23.3148,61.738
24.902,62.779
26.4892,63.824
28.1276,64.403
29.7148,66.809
31.302,65.61
32.8892,66.329
34.4764,67.14
36.1148,67.802
37.702,67.616
39.2892,67.473
40.9276,67.306
42.5148,65.911
44.102,65.697
45.6892,66.477
47.3276,66.656
48.9148,66.316
50.502,66.036
52.0892,66.659
53.6764,66.466
55.3148,66.17
56.902,65.307
58.4892,65.381
60.0764,65.691
61.7148,64.975
63.302,64.824
64.8892,63.472
66.4764,64.352
68.1148,64.508
69.702,64.493
71.2892,64.18
72.9276,64.031
74.5148,63.78
76.102,63.209
77.6892,63.077
79.3276,63.208
80.9148,63.71
82.502,63.243
84.1404,63.493
85.7276,63.769
87.3148,63.275
88.902,63.475
90.4892,63.762
92.1276,63.745
93.7148,63.111
95.302,64.013
96.8892,62.713
98.5276,63.791
100.1148,63.039
101.702,62.242
103.2892,62.564
104.9276,63.13
106.5148,62.909
108.102,62.299
109.7404,62.124
111.3276,63.36
112.9148,62.579
114.502,62.877
116.1404,62.353
117.7276,62.185
119.3148,61.623
120.902,62.129
