time,raw_data
1.8044,56.957
3.1356,56.076
4.518,56.791
6.1564,55.984
7.7436,57.124
9.3308,56.959
10.9692,57.085
12.5564,56.234
14.1436,56.826
15.782,57.526
17.318,56.809
18.9564,56.261
20.5436,56.023
22.1308,56.956
23.7692,59.385
25.3564,60.382
26.9436,62.192
28.582,63.093
30.1692,63.54
31.7564,64.704
33.3436,64.84
34.982,65.193
36.5692,65.943
38.1564,65.727
39.7436,65.498
41.3308,65.445
42.9692,65.781
44.5564,64.66
46.1436,66.419
47.782,64.793
49.3692,65.574
50.9564,64.436
52.5436,64.434
54.182,64.987
55.718,64.24
57.3564,65.105
58.9436,63.051
60.5308,63.516
62.1692,63.467
63.7564,62.972
65.3436,63.775
66.9308,63.375
68.5692,62.534
70.1564,63.029
71.7436,61.545
73.3308,63.952
74.9692,61.156
76.5564,62.03
78.1436,61.513
79.7308,61.954
81.3692,61.468
82.9564,62.429
84.5436,62.29
86.182,61.671
87.7692,61.39
89.3564,61.451
90.9436,61.01
92.582,61.256
94.1692,61.209
95.7564,61.609
97.3436,60.048
98.982,60.192
100.5692,61.215
102.1564,60.324
103.7436,60.383
105.382,61.413
106.9692,60.069
108.5564,60.904
110.1436,60.17
111.782,60.834
113.3692,60.195
114.9564,60.639
116.5436,60.023
118.182,59.76
119.7692,59.751
121.3564,60.406
