time,raw_data
0.7356,49.694
2.0668,50.127
3.5004,49.511
5.0876,50.223
6.6748,48.843
8.262,49.454
9.9004,49.414
11.4876,49.962
13.0748,49.325
14.662,49.071
16.3004,49.43
17.8876,49.485
19.4748,49.393
21.1132,49.013
22.7004,51.16
24.2876,52.862
25.8748,53.955
27.5132,55.013
29.1004,55.76
30.6876,55.274
32.2748,56.162
33.862,57.061
35.5004,57.143
37.0876,57.037
38.6748,57.28
40.3132,57.453
41.9004,56.348
43.4876,56.664
45.0748,55.575
46.7132,55.52
48.3004,56.484
49.8876,56.48
51.4748,56.054
53.1132,54.66
54.7004,55.116
56.2876,55.542
57.8748,55.222
59.462,54.452
61.1004,54.79
62.6876,55.758
64.2748,56.181
65.862,54.087
67.5004,54.161
69.0876,54.314
70.6748,54.664
72.3132,54.065
73.9004,54.233
75.4876,53.833
77.0748,54.656
78.7132,54.256
80.3004,54.137
81.8876,53.746
83.526,53.822
85.1132,53.402
86.7004,54.365
88.2876,52.794
89.8748,52.704
91.5132,53.872
93.1004,53.799
94.6876,53.423
96.2748,53.517
97.9132,53.012
99.5004,53.772
101.0876,53.71
102.6748,53.309
104.3132,52.657
105.9004,52.589
107.4876,54.289
109.126,52.393
110.7132,52.031
112.3004,52.895
113.8876,53.085
115.526,53.535
117.1132,53.253
118.7004,53.119
120.2876,51.916
