time,raw_data
1.1942,55.675
2.5254,56.348
3.959,55.37
5.5462,53.87
7.1334,54.688
8.7718,54.338
10.359,54.739
11.9462,54.348
13.5334,54.801
15.1718,54.215
16.759,54.601
18.3462,55.048
19.9846,53.954
21.5718,55.257
23.159,56.831
24.7462,57.45
26.3334,61.067
27.9718,63.178
29.559,63.443
31.1462,63.972
32.7846,66.022
34.3718,66.77
35.959,69.666
37.5974,70.196
39.1846,72.673
40.7718,73.796
42.359,76.736
43.9462,77.96
45.5846,78.788
47.1718,80.894
48.759,81.972
50.3462,82.886
51.9846,83.424
53.5718,84.888
55.159,86.203
56.7462,86.952
58.3846,86.933
59.9718,87.584
61.559,87.822
63.1462,87.818
64.7846,88.528
66.3718,90.487
67.959,89.82
69.5462,90.128
71.1846,90.558
72.7718,89.932
74.359,90.932
75.9974,89.853
77.5846,89.616
79.1718,89.923
80.759,90.717
82.3974,91.124
83.9846,91.214
85.5718,89.998
87.159,89.394
88.7974,89.52
90.3846,90.353
91.9718,89.997
93.559,89.451
95.1974,88.859
96.7846,88.93
98.3718,88.825
99.959,88.849
101.5974,88.719
103.1846,89.389
104.7718,87.483
106.4102,88.435
107.9974,87.473
109.5846,87.083
111.1718,86.264
112.759,87.842
114.3974,86.095
115.9846,87.521
117.5718,86.508
119.2102,85.972
120.7974,86.843
