time,raw_data
1.5036,65.827
2.8348,67.498
4.2172,66.603
5.8556,65.879
7.4428,65.482
9.0812,65.448
10.6684,66.264
12.2556,66.444
13.8428,66.096
15.43,66.147
17.0684,65.266
18.6556,65.907
20.2428,66.448
21.83,66.802
23.4684,68.409
25.0556,68.884
26.6428,71.038
28.2812,73.123
29.8684,72.722
31.4556,74.165
33.0428,73.483
34.63,74.722
36.2684,74.261
37.8556,74.708
39.4428,74.713
41.0812,75.289
42.6684,74.114
44.2556,73.177
45.8428,73.421
47.4812,73.323
49.0684,72.134
50.6556,73.793
52.2428,71.743
53.83,72.652
55.4684,72.03
57.0556,71.188
58.694,71.351
60.2812,72.376
61.8684,71.639
63.4556,71.262
65.0428,71.291
66.63,70.617
68.2684,71.696
69.8556,71.621
71.494,70.524
73.0812,70.333
74.6684,70.314
76.2556,69.33
77.8428,69.765
79.4812,69.84
81.0684,70.527
82.6556,69.619
84.294,69.006
85.8812,69.476
87.4684,69.263
89.0556,69.781
90.6428,70.119
92.23,69.692
93.8684,69.042
95.4556,69.676
97.0428,69.74
98.6812,69.982
100.2684,68.613
101.8556,68.2
103.4428,68.423
105.0812,68.684
106.6684,68.556
108.2556,69.26
109.894,68.861
111.4812,68.496
113.0684,68.494
114.6556,68.195
116.294,68.121
117.8812,68.557
119.4684,68.149
121.0556,68.63
