time,raw_data
1.0612,51.738
2.3924,51.26
3.7748,50.91
5.4132,51.082
7.0004,52.188
8.5876,51.623
10.1748,51.229
11.8132,51.595
13.4004,51.158
14.9876,51.79
16.5748,51.432
18.2132,50.58
19.8004,51.705
21.3876,51.813
22.9748,52.078
24.6132,54.873
26.2004,55.971
27.7876,59.179
29.3748,60.122
31.0132,62.196
32.6004,65.218
34.1876,69.905
35.7748,70.52
37.4132,75.52
39.0004,76.684
40.5876,81.904
42.226,82.638
43.8132,85.009
45.4004,87.886
46.9876,88.96
48.5748,90.414
50.2132,91.563
51.8004,91.786
53.3876,92.94
55.026,93.215
56.6132,93.831
58.2004,94.982
59.7876,96.079
61.426,95.329
63.0132,95.67
64.6004,95.926
66.1876,96.421
67.7748,96.301
69.4132,96.426
71.0004,96.435
72.5876,96.152
74.1748,95.745
75.8132,95.574
77.4004,95.065
78.9876,96.163
80.5748,95.387
82.2132,96.041
83.8004,94.266
85.3876,93.28
86.9748,93.011
88.6132,95.4
90.2004,94.577
91.7876,93.584
93.426,94.186
95.0132,92.627
96.6004,92.191
98.1876,92.446
99.826,94.162
101.4132,92.241
103.0004,91.658
104.5876,91.627
106.226,91.557
107.8132,90.585
109.4004,91.167
111.0388,90.968
112.626,90.49
114.2132,88.978
115.8004,90.251
117.3876,89.53
119.026,89.778
120.6132,88.623
