time,raw_data
1.8108,78.538
3.142,79.228
4.5244,79.806
6.1628,80.52
7.75,79.507
9.3884,79.542
10.9756,78.947
12.5628,79.102
14.15,79.878
15.7372,79.152
17.3756,79.901
18.9628,80.571
20.55,80.002
22.1884,78.45
23.7756,81.3
25.3628,82.639
26.95,84.215
28.5884,85.304
30.1756,85.167
31.7628,86.155
33.35,87.376
34.9372,88.248
36.5756,88.301
38.1628,87.414
39.75,87.89
41.3884,87.974
42.9756,87.141
44.5628,87.47
46.15,88.568
47.7884,85.808
49.3244,87.621
50.9628,84.796
52.55,86.573
54.1372,86.895
55.7756,84.545
57.3628,85.539
58.95,85.716
60.5884,86.321
62.1756,87.12
63.7628,86.671
65.35,85.908
66.9372,85.288
68.5756,85.386
70.1628,85.427
71.8012,84.955
73.3884,85.349
74.9756,84.608
76.5628,85.447
78.15,84.853
79.7372,83.375
81.3756,84.355
82.9628,83.999
84.55,84.476
86.1372,83.979
87.7756,83.634
89.3628,84.178
90.95,83.669
92.5884,84.864
94.1756,83.495
95.7628,83.977
97.35,84.068
98.9884,84.352
100.5756,83.48
102.1628,83.33
103.75,83.582
105.3884,83.727
106.9756,83.736
108.5628,83.968
110.2012,82.612
111.7884,83.719
113.3756,83.004
114.9628,83.974
116.6012,82.557
118.1884,81.386
119.7756,81.787
121.3628,82.609
