time,raw_data
1.8094,53.912
3.1406,54.141
4.5742,54.662
6.1614,54.078
7.7486,54.757
9.3358,54.491
10.9742,54.726
12.5614,54.266
14.1486,53.762
15.7358,53.4
17.323,54.155
18.9614,54.384
20.5486,54.404
22.1358,55.027
23.7742,56.405
25.3614,58.143
26.9486,58.899
28.5358,59.877
30.1742,61.785
31.7614,61.643
33.3486,61.686
34.9358,61.039
36.5742,62.215
38.1614,61.913
39.7486,62.468
41.3358,62.882
42.9742,62.43
44.5614,62.444
46.1486,62.07
47.7358,62.592
49.323,62.598
50.9614,61.748
52.5486,61.702
54.1358,60.726
55.7742,61.601
57.3614,61.609
58.9486,61.198
60.587,60.374
62.1742,60.662
63.7614,59.547
65.3486,60.524
66.9358,59.243
68.5742,59.434
70.1614,59.278
71.7486,60.17
73.3358,59.299
74.9742,59.423
76.5614,59.895
78.1486,58.817
79.7358,58.28
81.3742,59.135
82.9614,58.531
84.5486,57.927
86.1358,59.026
87.7742,58.526
89.3614,58.694
90.9486,58.22
92.5358,58.359
94.1742,58.232
95.7614,57.751
97.3486,58.429
98.987,58.227
100.5742,58.382
102.1614,57.122
103.7998,58.137
105.387,57.907
106.9742,56.84
108.5614,56.932
110.1998,57.98
111.787,58.27
113.3742,57.342
114.9614,57.009
116.5486,56.699
118.187,56.591
119.7742,56.888
121.3614,57.024
