time,raw_data
1.3172,54.009
2.6996,54.975
4.082,55.253
5.7204,56.067
7.3076,54.637
8.8948,55.007
10.482,53.063
12.1204,55.714
13.7076,54.461
15.2948,55.433
16.882,54.858
18.5204,54.411
20.1076,54.298
21.6948,54.135
23.282,56.957
24.9204,57.975
26.5076,59.879
28.0948,60.7
29.682,63.294
31.3204,64.044
32.9076,64.272
34.4948,65.548
36.082,66.239
37.7204,67.562
39.3076,68.093
40.8948,68.516
42.5332,71.477
44.1204,72.376
45.7076,73.119
47.2948,73.833
48.9332,74.125
50.5204,75.702
52.1076,77.959
53.6948,77.88
55.282,78.368
56.9204,79.122
58.5076,78.84
60.0948,79.736
61.682,78.974
63.3204,79.613
64.9076,80.652
66.4948,80.705
68.082,81.273
69.7204,80.911
71.3076,81.815
72.8948,82.138
74.482,82.122
76.1204,82.759
77.7076,83.142
79.2948,82.57
80.9332,82.809
82.5204,82.064
84.1076,83.683
85.6948,82.449
87.282,81.502
88.9204,82.818
90.5076,82.565
92.0948,83.25
93.7332,82.509
95.3204,82.011
96.9076,82.802
98.4948,83.482
100.1332,81.916
101.7204,82.096
103.3076,81.991
104.8948,83.047
106.5332,82.588
108.1204,80.902
109.7076,82.283
111.2948,81.614
112.882,82.415
114.5204,81.289
116.1076,81.675
117.6948,80.473
119.3332,81.503
120.9204,80.402
