time,raw_data
0.741,56.095
2.0722,56.873
3.5058,56.513
5.093,57.375
6.6802,58.604
8.2674,55.966
9.9058,56.757
11.493,57.379
13.0802,56.733
14.6674,56.636
16.3058,56.575
17.893,56.592
19.4802,56.209
21.0674,56.207
22.7058,57.056
24.293,60.551
25.8802,63.405
27.4674,67.542
29.1058,71.834
30.693,77.822
32.2802,85.489
33.9186,92.03
35.5058,97.182
37.093,100.915
38.6802,104.669
40.2674,109.081
41.9058,110.993
43.493,112.185
45.0802,115.626
46.7186,117.244
48.3058,119.126
49.893,118.782
51.4802,119.211
53.1186,120.518
54.7058,117.436
56.293,121.424
57.8802,119.858
59.5186,118.547
61.1058,118.172
62.693,119.262
64.2802,119.315
65.8674,119.889
67.5058,118.802
69.093,118.536
70.6802,117.317
72.3186,118.163
73.9058,117.756
75.493,117.322
77.0802,117.122
78.6674,116.843
80.3058,116.645
81.893,116.71
83.4802,116.236
85.1186,115.978
86.7058,115.531
88.293,114.533
89.8802,113.363
91.5186,115.223
93.1058,112.668
94.693,114.556
96.2802,112.546
97.9186,111.68
99.5058,113.805
101.093,111.455
102.6802,112.127
104.3186,109.498
105.9058,110.932
107.493,109.954
109.0802,109.562
110.7186,111.202
112.3058,109.363
113.893,109.744
115.4802,109.085
117.1186,108.645
118.7058,109.029
120.293,107.091
