time,raw_data
0.8834,46.677
2.2146,45.67
3.6482,45.137
5.2354,45.654
6.8226,45.537
8.461,44.377
10.0482,44.851
11.6354,45.548
13.2226,45.623
14.861,45.823
16.4482,45.822
18.0354,45.263
19.6226,45.114
21.261,46.502
22.8482,45.566
24.4354,46.378
26.0226,46.879
27.661,48.165
29.2482,48.173
30.8354,48.345
32.4226,47.845
34.061,48.661
35.6482,48.238
37.2354,47.606
38.8226,48.34
40.461,47.525
42.0482,47.33
43.6354,47.581
45.2738,47.228
46.861,47.466
48.4482,47.235
50.0354,47.824
51.6226,46.667
53.261,46.925
54.8482,47.221
56.4354,47.116
58.0738,47.467
59.661,47.687
61.2482,47.61
62.8354,47.285
64.4738,46.439
66.061,47.013
67.6482,46.807
69.2866,47.435
70.8226,47.072
72.461,46.699
74.0482,46.364
75.6354,47.37
77.2738,46.323
78.861,47.305
80.4482,46.946
82.0354,47.223
83.6226,45.992
85.261,46.955
86.8482,46.572
88.4354,46.63
90.0738,46.903
91.661,46.525
93.2482,47.545
94.8354,46.847
96.4226,46.496
98.061,46.566
99.6482,46.801
101.2354,46.277
102.8738,46.707
104.461,46.091
106.0482,47.338
107.6354,46.653
109.2738,46.248
110.861,46.813
112.4482,46.002
114.0354,45.639
115.6738,46.585
117.261,47.35
118.8482,46.738
120.4354,45.345
