time,raw_data
1.805,71.374
3.1362,71.032
4.5698,71.106
6.157,72.379
7.7442,71.0
9.3826,71.708
10.9698,71.546
12.557,71.517
14.1442,71.942
15.7826,71.159
17.3698,71.05
18.957,71.463
20.5442,71.635
22.1826,71.641
23.7698,73.22
25.357,75.11
26.9954,76.732
28.5314,77.116
30.1698,78.154
31.757,79.909
33.3442,79.546
34.9826,79.407
36.5698,79.604
38.157,80.307
39.7954,80.397
41.3826,79.343
42.9698,78.724
44.557,79.501
46.1442,78.326
47.7826,78.223
49.3698,78.275
50.957,78.403
52.5954,77.75
54.1826,77.862
55.7698,77.334
57.357,77.485
58.9442,77.645
60.5826,77.256
62.1698,77.129
63.757,76.229
65.3442,76.727
66.9826,77.002
68.5698,77.047
70.2082,76.558
71.7442,76.626
73.3826,76.488
74.9698,74.974
76.557,76.35
78.1442,77.14
79.7826,76.517
81.3698,75.196
82.957,75.817
84.5442,75.716
86.1826,76.368
87.7698,75.724
89.357,76.205
90.9954,76.889
92.5826,75.342
94.1698,75.484
95.757,74.779
97.3954,75.88
98.9826,76.055
100.5698,74.965
102.157,75.704
103.7954,74.856
105.3826,75.142
106.9698,75.183
108.557,75.445
110.1954,75.257
111.7826,74.052
113.3698,75.618
114.957,73.731
116.5954,74.041
118.1826,74.109
119.7698,74.422
121.357,74.426
