time,raw_data
1.026,58.885
2.3572,59.18
3.7908,58.163
5.378,58.771
6.9652,58.887
8.5524,58.768
10.1908,57.811
11.778,60.0
13.3652,58.602
14.9524,58.067
16.5908,59.515
18.178,59.924
19.7652,58.849
21.4036,59.294
22.9908,60.695
24.578,62.282
26.1652,63.112
27.8036,66.048
29.3908,65.959
30.978,67.626
32.5652,66.597
34.2036,67.766
35.7908,68.428
37.378,68.362
38.9652,68.776
40.6036,67.671
42.1908,67.378
43.778,67.634
45.3652,66.135
47.0036,66.242
48.5908,66.584
50.178,65.378
51.8164,65.393
53.4036,66.541
54.9908,65.944
56.578,64.359
58.2164,66.159
59.8036,65.372
61.3908,65.944
62.978,65.456
64.6164,64.364
66.2036,64.703
67.7908,64.489
69.378,64.358
70.9652,63.63
72.6036,63.992
74.1908,63.537
75.778,63.463
77.4164,62.549
79.0036,62.782
80.5908,63.199
82.178,63.365
83.8164,62.515
85.4036,62.598
86.9908,62.627
88.578,63.405
90.2164,62.099
91.8036,62.255
93.3908,62.182
95.0292,61.677
96.6164,62.377
98.2036,62.009
99.7908,61.854
101.378,62.528
103.0164,61.745
104.6036,61.441
106.1908,62.021
107.778,62.226
109.4164,62.203
111.0036,62.848
112.5908,61.617
114.2292,62.295
115.8164,61.648
117.4036,61.556
118.9908,61.201
120.6292,61.999
