time,raw_data
1.0466,54.477
2.3778,54.515
3.8114,54.953
5.3986,54.235
6.9858,54.519
8.573,55.154
10.2114,54.662
11.7986,54.871
13.3858,54.572
15.0242,54.027
16.6114,55.747
18.1986,54.447
19.7858,54.221
21.4242,56.684
23.0114,57.091
24.5986,58.767
26.1858,60.684
27.773,61.416
29.4114,63.003
30.9986,63.912
32.5858,64.438
34.173,65.612
35.8114,64.993
37.3986,65.198
38.9858,65.338
40.573,64.271
42.2114,64.934
43.7986,64.445
45.3858,64.045
47.0242,64.467
48.6114,63.719
50.1986,63.386
51.7858,63.569
53.4242,64.407
55.0114,62.478
56.5986,64.011
58.1858,62.707
59.8242,62.161
61.4114,63.433
62.9986,62.92
64.5858,62.999
66.2242,62.05
67.8114,62.032
69.3986,62.553
70.9858,61.721
72.573,61.473
74.2114,62.609
75.7986,60.977
77.3858,61.425
78.973,62.148
80.6114,59.06
82.1986,60.714
83.7858,61.578
85.4242,60.652
87.0114,60.864
88.5986,59.562
90.1858,59.756
91.8242,60.847
93.4114,60.398
94.9986,61.251
96.5858,59.944
98.2242,59.626
99.8114,60.093
101.3986,60.484
102.9858,60.411
104.6242,59.406
106.2114,59.662
107.7986,59.452
109.3858,59.423
111.0242,59.173
112.6114,58.741
114.1986,59.98
115.837,59.104
117.4242,59.491
119.0114,58.38
120.5986,59.161
