time,raw_data
0.754,55.74
2.0852,55.837
3.4676,55.051
5.106,54.822
6.6932,53.97
8.2804,56.029
9.8676,54.602
11.506,56.334
13.0932,55.392
14.6804,54.865
16.2676,55.22
17.906,55.81
19.4932,55.561
21.0804,54.696
22.6676,56.58
24.306,59.113
25.8932,60.896
27.4804,65.581
29.0676,70.281
30.706,77.87
32.2932,83.891
33.8804,89.993
35.4676,97.216
37.106,101.874
38.6932,105.66
40.2804,110.54
41.8676,112.851
43.506,113.548
45.0932,115.167
46.6804,115.854
48.3188,117.13
49.906,117.667
51.4932,118.152
53.0804,118.978
54.6676,118.004
56.306,118.072
57.8932,117.8
59.4804,118.422
61.1188,117.586
62.706,117.591
64.2932,116.758
65.8804,116.9
67.5188,116.361
69.106,117.434
70.6932,116.387
72.2804,115.88
73.8676,114.076
75.506,115.986
77.0932,114.579
78.6804,115.49
80.3188,114.597
81.906,114.572
83.4932,113.212
85.0804,113.476
86.6676,111.348
88.306,112.116
89.8932,109.941
91.4804,111.448
93.1188,110.249
94.706,110.158
96.2932,110.593
97.8804,109.301
99.5188,109.765
101.106,110.403
102.6932,108.579
104.2804,108.435
105.9188,107.99
107.506,109.108
109.0932,105.039
110.6804,106.628
112.2676,106.63
113.906,104.7
115.4932,104.598
117.0804,104.678
118.7188,105.484
120.306,104.869
