time,raw_data
0.7188,51.767
2.1012,51.753
3.4836,51.497
5.0708,52.562
6.658,51.152
8.2452,52.23
9.8836,50.938
11.4708,51.94
13.058,51.785
14.6964,52.455
16.2836,51.941
17.8708,52.303
19.458,51.273
21.0452,51.218
22.6836,52.919
24.2708,53.835
25.858,55.279
27.4452,55.987
29.0836,57.653
30.6708,57.699
32.258,57.824
33.8964,57.494
35.4836,58.515
37.0708,57.702
38.658,58.836
40.2964,57.47
41.8836,58.168
43.4708,57.932
45.058,57.12
46.6964,56.789
48.2836,57.891
49.8708,57.35
51.5092,56.514
53.0964,56.329
54.6836,55.935
56.2708,56.192
57.858,54.985
59.4964,56.157
61.0836,55.045
62.6708,55.577
64.3092,54.665
65.8964,56.166
67.4836,55.926
69.0708,55.699
70.7092,56.036
72.2964,54.759
73.8836,54.676
75.4708,55.436
77.1092,54.782
78.6964,55.475
80.2836,55.271
81.8708,55.186
83.458,54.275
85.0964,54.802
86.6836,54.384
88.2708,56.137
89.9092,54.615
91.4964,53.683
93.0836,54.275
94.6708,54.446
96.3092,54.473
97.8964,54.959
99.4836,53.959
101.0708,55.601
102.7092,54.103
104.2964,55.566
105.8836,53.613
107.4708,54.244
109.1092,54.478
110.6964,53.251
112.2836,53.161
113.8708,54.662
115.5092,53.96
117.0964,54.279
118.6836,54.579
120.322,54.531
