time,raw_data
1.1964,49.738
2.5276,49.689
3.91,49.543
5.5484,49.8
7.1356,50.052
8.774,48.867
10.3612,48.834
11.9484,50.45
13.5356,49.291
15.1228,49.512
16.7612,48.894
18.3484,49.888
19.9356,48.955
21.574,49.304
23.1612,50.968
24.7484,52.556
26.3356,53.319
27.974,55.395
29.5612,56.427
31.1484,56.24
32.7356,56.845
34.3228,57.695
35.9612,58.365
37.5484,58.027
39.1356,58.001
40.774,58.504
42.3612,58.892
43.9484,58.641
45.5356,58.312
47.174,57.142
48.7612,57.834
50.3484,55.771
51.9356,56.058
53.5228,56.64
55.1612,56.256
56.7484,55.396
58.3356,56.5
59.9228,55.953
61.5612,56.397
63.1484,55.475
64.7356,55.677
66.374,55.2
67.9612,54.954
69.5484,54.479
71.1868,54.443
72.774,54.179
74.3612,55.351
75.9484,54.48
77.5356,54.805
79.1228,54.198
80.7612,53.793
82.3484,54.128
83.9868,53.861
85.574,54.212
87.1612,54.124
88.7484,52.993
90.3356,54.054
91.974,54.563
93.5612,53.65
95.1484,53.739
96.7356,53.223
98.374,53.015
99.9612,54.077
101.5484,52.538
103.1356,53.678
104.774,53.941
106.3612,53.957
107.9484,54.152
109.5868,53.314
111.174,52.36
112.7612,52.57
114.3484,52.704
115.9868,53.15
117.574,52.535
119.1612,53.092
120.7484,52.915
