time,raw_data
0.8946,55.527
2.2258,55.445
3.6594,55.898
5.2466,55.854
6.8338,55.642
8.421,55.615
10.0594,55.785
11.6466,56.445
13.2338,56.212
14.821,55.151
16.4594,55.91
18.0466,56.645
19.6338,55.306
21.221,57.06
22.8594,57.297
24.4466,59.319
26.0338,60.763
27.6722,62.669
29.2594,66.499
30.8466,71.255
32.4338,74.201
34.021,79.494
35.6594,83.429
37.2466,87.94
38.8338,93.878
40.4722,94.764
42.0594,98.147
43.6466,101.396
45.2338,102.803
46.8722,103.137
48.4594,104.154
50.0466,104.457
51.6338,107.603
53.221,107.2
54.8594,107.275
56.4466,107.517
58.0338,108.407
59.6722,107.516
61.2594,108.258
62.8466,108.591
64.4338,108.425
66.021,108.542
67.6594,109.336
69.2466,108.714
70.885,108.579
72.4722,107.616
74.0594,108.083
75.6466,106.686
77.285,108.042
78.821,105.673
80.4594,106.337
82.0466,105.413
83.6338,104.698
85.2722,106.023
86.8594,105.043
88.4466,104.79
90.0338,105.166
91.6722,104.288
93.2594,104.455
94.8466,103.454
96.4338,103.603
98.0722,102.609
99.6594,102.513
101.2466,101.81
102.8338,101.627
104.4722,101.328
106.0594,100.655
107.6466,101.293
109.2338,100.093
110.8722,100.904
112.4594,98.995
114.0466,99.708
115.6338,100.452
117.2722,98.386
118.8594,98.558
120.4466,99.529
