time,raw_data
1.6666,49.581
2.9978,49.512
4.3802,49.952
6.0186,49.783
7.6058,49.847
9.193,49.364
10.8314,50.209
12.4186,49.954
14.0058,50.189
15.593,50.277
17.2314,50.265
18.8186,49.717
20.4058,50.751
22.0442,50.428
23.6314,51.693
25.2186,53.462
26.8058,55.244
28.4442,56.176
30.0314,56.831
31.6186,56.527
33.2058,57.899
34.793,58.72
36.4314,57.927
38.0186,60.125
39.6058,58.854
41.193,58.009
42.8314,59.171
44.4186,58.093
46.0058,57.444
47.593,58.191
49.2314,57.802
50.8186,57.434
52.4058,56.874
54.0442,57.477
55.6314,56.211
57.2186,56.28
58.8058,57.167
60.4442,57.109
62.0314,56.799
63.6186,56.685
65.2058,56.496
66.8442,56.146
68.4314,56.074
70.0186,54.822
71.6058,55.809
73.2442,54.769
74.8314,55.131
76.4186,54.583
78.0058,54.983
79.593,54.721
81.2314,54.594
82.8186,55.238
84.457,53.968
86.0442,54.283
87.6314,54.873
89.2186,54.832
90.8058,54.532
92.393,53.936
94.0314,53.705
95.6186,54.434
97.2058,53.843
98.8442,54.012
100.4314,53.274
102.0186,54.455
103.657,53.995
105.2442,54.561
106.8314,53.076
108.4186,53.382
110.0058,53.987
111.6442,52.843
113.2314,52.968
114.8186,53.701
116.4058,53.309
118.0442,52.799
119.6314,52.864
121.2186,53.222
